,review title,job title,job location,date,description,pros,cons
359,Big company,Contract Optimization Specialist - Supply Chain,"Santiago de Chile, Metropolitana Regi√≥n","August 30, 2016","Is a big company and works slowly, is difficult define a career and now with the commodity prices in crisis is very competitive the job's environments. They have a very good benefit a very good salaries.",Very good benefits,job's environments.
360,Very good working environment,Procurement and Contracts Superintendent,"Chaa ± aral, Atacama","August 26, 2016","The company is international, with strong principles and rules of ethics and respect for people.",Medical insurance,long working hours in 4x3 shift systems
361,good company to work for,Specialized welding,"Concei√ß√ £ Within the Mato, MG","August 19, 2016","good company to work but has areas for improvement, √≥timos Staff, good alimenta√ß√ £ o.",officials,Benefit cuts
362,Fun work place,surveyor(mine),"Witbank, Mpumalanga","August 12, 2016",Fun work place i enjoy working for this company the company provides good benefits and pension fund with flexible shift system,#VALUE!,#VALUE!
363,"Love to work, it was nice",Supply Chain Warehouse Controller,North West Rustenburg,"August 11, 2016",It was fun for me to come to work. I loved the co-workers that I worked for. we worked nice together. my part of work was to give material to shafts an make sure that the write material is received at the shafts.To know on the end off the day that the work that I did is right and that the employees at the shafts are happy with the job that I did for them to make sure that they get all their material.,we had lunch,"their were time that we worked overtime, but it was to make sure everything is 100% the next day for delivery, That the paperwork is in place"
364,Very good company,Mine Advisory Firm,"Antofagasta, Antofagasta","August 9, 2016",good company to work and develop working life until the end of your year ± os service.,job security,lack better evaluation of headquarters
365,good learning,Escrit√≥rio Assistant,"S√ £ o Paulo, SP","August 8, 2016",predizoportunidade young to learn fun√ß√?esseguimento in Mina © rivers.,#VALUE!,#VALUE!
366,High commitment to safety and ongoing challenges.,Specialist engineer Mantenci√≥n,"Calera, Valparaiso","August 1, 2016",Alte pressure achieving the objetivos.Alto own commitment to safety and externo.Alto own staff and commitment to the Middle Ambiente.Planificaci√≥n that can be easily improved by 15% .Many challenges to develop and fulfill.,"Good health insurance, benefits bonuses and achievements",to strengthen the training of good level.
367,Acquired knowledge,Apprentice,"Hill, Metropolitan Regi√≥n","July 27, 2016","One acquires knowledge are enough, because one person comes to knowledge, but not how to apply them in reality, it helps you to become more responsible, orderly and better certain behaviors or attitudes that can hurt you in your career .",#VALUE!,#VALUE!
368,"Productive, balanced workplace",Jnr Engineer,"Witbank, Mpumalanga","July 27, 2016",Awesome place to work at. Good management staff as well as a people driven workplace.I enjoy it working for this company as it assissts me to progress and develop my career.,Safe encouraging workplace,Long production hours
369,productive and fun place,Human Resource Development Trainer,"Rustenburg, Limpopo","July 24, 2016","Have experience, Hard work. Enjoying working with people and the computer. Quickly adapt with changes. Work extra hour to be above the required target. job",#VALUE!,Long Hours
370,Word class company,My Manager,"Belo Horizonte, MG","July 20, 2016",Word class company whit different commodities and business which share acknowledgements and apply safety policies and standards. High professional staff in all levels,#VALUE!,#VALUE!
371,Exellent place to work,Ger. IM Projects,"S√ £ o Paulo, SP","July 20, 2016","even working as jur√dica person in my time at the company, it proved an organizational culture and respect very good employee.",organizational culture,??
372,Workplace,Underground Instrumentation Mechanician,"Black Stone, Limpopo","July 14, 2016",Never a dull day!always expect the unexpected. ex. breakdowns.Co- workers maked everyday at work fun. we get challenged everyday and find selutions and solve them together.hardest part of my job is to order spares.enjoyable part of my job is new projects and the finishing product.,braais on saturdays,long hours and not seeing the family so much.
